Institution,Location,Institution Type,Economic Development Region,City,Address,Location Description,Latitude,Longitude
University of the Fraser Valley,UFV Clearbrook Centre,B.C. Public,Mainland/Southwest,Abbotsford,32355 Veterans Way,Teaching Centre,49.053705,-122.328494
University of the Fraser Valley,UFV Hope Centre,B.C. Public,Mainland/Southwest,Hope,1250 - 7th Avenue,Teaching Centre,49.376589,-121.426789
University of the Fraser Valley,UFV Abbotsford Campus (Main),B.C. Public,Mainland/Southwest,Abbotsford,33844 King Road,Campus,49.031425,-122.285192
University of the Fraser Valley,UFV Mission Campus,B.C. Public,Mainland/Southwest,Mission,33700 Prentis Avenue,Campus,49.144619,-122.289333
University of the Fraser Valley,UFV Trades and Technology Centre,B.C. Public,Mainland/Southwest,Chilliwack,5579 Tyson Road,Campus,49.103643,-121.976582
University of the Fraser Valley,UFV Agriculture Centre ,B.C. Public,Mainland/Southwest,Chilliwack,45288 Petawawa Rd,Satellite,49.098731,-121.971666
University of the Fraser Valley,UFV Five Corners,B.C. Public,Mainland/Southwest,Chilliwack,46225 Yale Rd,Satellite,49.171791,-121.949522
Vancouver Community College,VCC Downtown Campus,B.C. Public,Mainland/Southwest,Vancouver,250 West Pender Street,Campus,49.281862,-123.110586
Vancouver Community College,VCC Broadway Campus (Main),B.C. Public,Mainland/Southwest,Vancouver,1155 East Broadway,Campus,49.262456,-123.080349
Vancouver Community College,VCC Annacis Island Campus,B.C. Public,Mainland/Southwest,Delta,1608 Cliveden Ave,Campus,49.164462,-122.968955
Vancouver Island University,VIU Cowichan Campus,B.C. Public,Vancouver Island/Coast,Duncan,2011 University Way,Campus,48.784182,-123.706135
Vancouver Island University,VIU Nanaimo Campus (Main),B.C. Public,Vancouver Island/Coast,Nanaimo,900 Fifth Street,Campus,49.156506,-123.965435
Vancouver Island University,VIU Parksville Qualicum Centre,B.C. Public,Vancouver Island/Coast,Parksville,100 Jensen Avenue East,Campus,49.318227,-124.311976
Vancouver Island University,VIU Powell River Campus,B.C. Public,Vancouver Island/Coast,Powell River,7085 Nootka Street,Campus,49.822764,-124.517144
University of British Columbia,UBC Great Northern Way Campus,B.C. Public,Mainland/Southwest,Vancouver,577 Great Northern Way,Campus,49.267777,-123.08979
University of British Columbia,UBC Main Campus,B.C. Public,Mainland/Southwest,Vancouver,2329 West Mall,Campus,49.260789,-123.252933
University of British Columbia,UBC Okanagan Campus,B.C. Public,Thompson Okanagan,Kelowna,3333 University Way,Campus,49.939497,-119.396367
University of British Columbia,UBC Robson Square,B.C. Public,Mainland/Southwest,Vancouver,800 Robson Street,Learning Centre,49.282378,-123.121376
University of Northern British Columbia,UNBC Main Campus,B.C. Public,Cariboo,Prince George,3333 University Way,Campus,53.894148,-122.808695
University of Northern British Columbia,UNBC Northwest Campus,B.C. Public,North Coast,Terrace,4837 Keith Avenue,Campus,54.513334,-128.603876
University of Northern British Columbia,UNBC Peace River-Liard Campus,B.C. Public,Northeast,Fort St. John,9820 - 120th Avenue,Campus,56.26654,-120.842711
University of Northern British Columbia,UNBC Prince Rupert Campus,B.C. Public,North Coast,Prince Rupert,353 - 5th Street,Campus,54.311329,-130.326165
University of Northern British Columbia,UNBC Wilp Wilxo'oskwhl Nisga'a Institute,B.C. Public,North Coast,Gitwinksihlkw,3001 Ts'oohl Ts'ap Avenue,Teaching Centre,55.192567,-129.220648
University of Northern British Columbia,UNBC South-Central Campus,B.C. Public,Cariboo,Quesnel,S100 - 100 Campus Way,Campus,52.983093,-122.469106
University of Northern British Columbia,UNBC Wood Innovation and Design Centre,B.C. Public,Cariboo,Prince George ,499 George Street - 3rd Floor,Campus,53.9147546,-122.743812
Simon Fraser University,SFU Great Northern Way,B.C. Public,Mainland/Southwest,Vancouver,577 Great Northern Way,Campus,49.267328,-123.090627
Simon Fraser University,SFU Main Campus,B.C. Public,Mainland/Southwest,Burnaby,8888 University Drive,Campus,49.275855,-122.913172
Simon Fraser University,SFU Surrey Campus,B.C. Public,Mainland/Southwest,Surrey,250 - 13450 - 102nd Avenue,Campus,49.18758,-122.849593
Simon Fraser University,SFU Vancouver Campus,B.C. Public,Mainland/Southwest,Vancouver,515 West Hastings Street,Campus,49.284172,-123.112088
Simon Fraser University,SFU Segal Graduate School of Business,B.C. Public,Mainland/Southwest,Vancouver,500 Granville St,Campus,49.284458,-123.114838
Acsenda School of Management,Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,1090 W. Pender St,Campus,49.287161,-123.120213
Adler University ,Adler Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,520 Seymour Street,Campus,49.2838948,-123.114005
Alexander College,Alexander Burnaby Campus,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,101 - 4603 Kingsway,Campus,49.229638,-123.0040217
Alexander College,Alexander Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,100 - 602 West Hastings,Campus,49.2848,-123.113297
Canadian Baptist Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1402398,-122.5989125
Canadian Pentecostal Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1406734,-122.6042244
Carey Theological College,Carey campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5920 Iona Drive ,Campus,49.2715875,-123.251253
City University of Seattle,City University of Seattle Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,310 - 789 W Pender Street,Campus,49.2852793,-123.1174685
City University of Seattle,City University of Seattle Victoria Campus,B.C. Private Degree Granting,Vancouver Island/Coast,Victoria,305 - 877 Goldstream Avenue,Campus,48.4501753,-123.5067764
Columbia Bible College,Columbia Bible College Campus,B.C. Private Degree Granting,Mainland/Southwest,Abbotsford,2940 Clearbrook Road ,Campus,49.055184,-122.3397931
Columbia College,Columbia Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,438 Terminal Avenue,Campus,49.271621,-123.0963962
Coquitlam College,Coquitlam College Campus,B.C. Private Degree Granting,Mainland/Southwest,Coquitlam,516 Brookmere Avenue,Campus,49.2505665,-122.893641
Corpus Christi College,CC Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5935 Iona Drive,Campus,49.2730138,-123.2492661
Fairleigh Dickinson University,Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,842 Cambie Street,Campus,49.2776995,-123.117744
Fraser International College,Fraser Burnaby Campus,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,8999 Nelson Way,Campus,49.274276,-122.912453
LaSalle College Vancouver,La Salle Main Campus ,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,2665 Renfrew Street,Campus,49.2608782,-123.0465002
Mennonite Brethren Biblical Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1386877,-122.6003409
New York Institute of Technology,NYIT Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,1700 - 701 West Georgia Street,Campus,49.2828662,-123.1202722
Northwest Baptist Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1402986,-122.6004641
Pacific Coast University for Workplace Health Sciences,PCU Campus,B.C. Private Degree Granting,Vancouver Island/Coast,Port Alberni,4755 Cherry Creek Road,Campus,49.2620687,-124.7901124
Pacific Life Bible College,Pacific Life Bible College Campus,B.C. Private Degree Granting,Mainland/Southwest,Surrey,15030 66A Ave,Campus,49.1228185,-122.8081647
Quest University Canada,Quest Squamish Campus,B.C. Private Degree Granting,Mainland/Southwest,Squamish,3200 University Boulevard,Campus,49.7381947,-123.1026008
Regent College - Vancouver,Regent College Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5800 University Boulevard,Campus,49.2656764,-123.2462673
Saint Mark's College,Saint Mark's College Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5935 Iona Drive,Campus,49.2721637,-123.2511676
Seminary of Christ the King,Seminary of Christ the King Campus,B.C. Private Degree Granting,Mainland/Southwest,Mission,34224 Dewdney Trunk Rd,Campus,49.154375,-122.270434
Summit Pacific College,Summit Pacific College Campus,B.C. Private Degree Granting,Mainland/Southwest,Abbotsford,35235 Straiton Road,Campus,49.0861963,-122.2820278
Trinity Western University,TWU Main Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.139892,-122.600335
University Canada West,UCW Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,#100 626 West Pender Street,Campus,49.2842201,-123.1496037
Vancouver School of Theology,Vancouver School of Theology Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,6015 Walter Gage Road,Campus,49.270215,-123.250999
Yorkville University,Yorkville Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver ,7th Floor 1090 W Georgia St,Campus,49.2853237,-123.1232274
University of Victoria,UVIC Main Campus,B.C. Public,Vancouver Island/Coast,Victoria,3800 Finnerty Road,Campus,48.463517,-123.31059
